iter	RMSE
0	0.9075055664
1	0.8920792727
2	0.8769733509
3	0.862470118
4	0.8483422532
5	0.8345943907
6	0.8219778775
7	0.8094524893
8	0.7974118941
9	0.7857347529
10	0.7741194061
11	0.7631073137
12	0.7524980612
13	0.7424313684
14	0.7323639675
15	0.7227802135
16	0.7134575772
17	0.7044287746
18	0.6959337852
19	0.6880069599
20	0.6799873145
21	0.6723971585
22	0.6651406817
23	0.6579676485
24	0.6514088094
25	0.6447282582
26	0.6385592271
27	0.6325291246
28	0.6268735268
29	0.6213012335
30	0.6159834565
31	0.6108328888
32	0.6057699135
33	0.6009539063
34	0.5964994724
35	0.592253395
36	0.5877954756
37	0.5835119097
38	0.5792553771
39	0.5753604708
40	0.5715940539
41	0.5678263391
42	0.5643758748
43	0.5611866978
44	0.5578928183
45	0.5546406049
46	0.5515548693
47	0.5487454347
48	0.5459915034
49	0.5433565058
50	0.540828376
51	0.5382591625
52	0.5356336487
53	0.5333763329
54	0.5311092324
55	0.5287933684
56	0.5266582921
57	0.5245401614
58	0.522607718
59	0.5206774286
60	0.518754272
61	0.5167235774
62	0.5149445348
63	0.5132272198
64	0.5114786313
65	0.5097683242
66	0.5081910959
67	0.506697911
68	0.5052327153
69	0.5037591174
70	0.5023265261
71	0.5009792727
72	0.4997332901
73	0.4983560144
74	0.4971114433
75	0.4959640787
76	0.4946994611
77	0.4935359892
78	0.4923141256
79	0.491180505
80	0.4901733436
81	0.4889851058
82	0.4879018371
83	0.4869825556
84	0.4858975002
85	0.4849605016
86	0.484094235
87	0.4830312573
88	0.4821207509
89	0.4811361313
90	0.4802590591
91	0.4793433871
92	0.478448011
93	0.4774806692
94	0.4766192257
95	0.4757846404
96	0.4750945679
97	0.4743638545
98	0.4734625399
99	0.4727697959
100	0.4720912651
101	0.4713047784
102	0.4706129875
103	0.4699324032
104	0.4693165083
105	0.4686672203
106	0.4680791321
107	0.4675619707
108	0.4669994026
109	0.4663591047
110	0.465767503
111	0.4652087586
112	0.4646491984
113	0.4640290821
114	0.4636037945
115	0.4631332374
116	0.4625096082
117	0.4620533001
118	0.46148308
119	0.4609272931
120	0.4603457128
121	0.4598138361
122	0.4593226211
123	0.4587756528
124	0.4583281011
125	0.4578714227
126	0.4573907989
127	0.4569439254
128	0.4565306531
129	0.4560293069
130	0.4556122516
131	0.4552272534
132	0.454735739
133	0.4542876438
134	0.4538862552
135	0.4534711097
136	0.4530651179
137	0.4527238685
138	0.4522997036
139	0.4519749681
140	0.4515604661
141	0.4511561609
142	0.4507626319
143	0.4503440912
144	0.4499805586
145	0.449502818
146	0.4490083307
147	0.4486369691
148	0.4483102044
149	0.4478852661
150	0.4475431833
151	0.4470936426
152	0.4467574912
153	0.4463680362
154	0.4460390112
155	0.4456873658
156	0.4452405136
157	0.4448945438
158	0.4445395487
159	0.4442251025
160	0.4439275614
161	0.4436472521
162	0.4433871403
163	0.4430731794
164	0.4427612484
165	0.4422571498
166	0.4420130694
167	0.4417263157
168	0.4413715393
169	0.4410699005
170	0.4407935922
171	0.4404897275
172	0.4401746264
173	0.4398793785
174	0.439617228
175	0.4393162458
176	0.4390454927
177	0.4388272018
178	0.4385760947
179	0.4382880107
180	0.4380736364
181	0.4378248274
182	0.4375502297
183	0.4372685612
184	0.436987189
185	0.4367016029
186	0.4363998177
187	0.4361547879
188	0.4358291508
189	0.4354603709
190	0.4351639441
191	0.4347998836
192	0.4345057066
193	0.4341979507
194	0.4338004426
195	0.4336127515
196	0.4332641846
197	0.4330093887
198	0.4327980718
199	0.4325196157
200	0.432337672
201	0.4321242538
202	0.4318126008
203	0.4315489233
204	0.4313568157
205	0.4310659939
206	0.4309044392
207	0.4306803168
208	0.4303872623
209	0.4300565404
210	0.4298285177
211	0.4294748009
212	0.429227693
213	0.4289727159
214	0.4287226723
215	0.4284744189
216	0.4282298835
217	0.4279246375
218	0.4275921939
219	0.4274185269
220	0.4272049185
221	0.4269224971
222	0.42657348
223	0.4263484333
224	0.4260882663
225	0.4259265885
226	0.4256422871
227	0.4253731965
228	0.4251693572
229	0.4248439991
230	0.4245054023
231	0.4242877007
232	0.424162015
233	0.4239762105
234	0.4237832396
235	0.4235830554
236	0.4234083405
237	0.4230791907
