iter	Passed	Remaining
0	119	143670
1	239	143756
2	343	137230
3	442	132245
4	544	130173
5	648	129068
6	750	127905
7	859	128045
8	959	126955
9	1056	125685
10	1149	124280
11	1255	124252
12	1366	124750
13	1467	124353
14	1568	123879
15	1671	123700
16	1771	123243
17	1863	122400
18	1957	121686
19	2062	121676
20	2171	121933
21	2272	121676
22	2373	121479
23	2485	121787
24	2585	121506
25	2675	120799
26	2768	120260
27	2869	120120
28	2967	119843
29	3071	119781
30	3170	119557
31	3271	119419
32	3369	119167
33	3467	118930
34	3588	119447
35	3695	119495
36	3791	119188
37	3884	118769
38	3976	118387
39	4068	117978
40	4160	117617
41	4259	117437
42	4358	117266
43	4456	117082
44	4580	117564
45	4673	117252
46	4788	117467
47	4886	117272
48	4987	117160
49	5099	117289
50	5197	117102
51	5288	116747
52	5381	116468
53	5474	116180
54	5569	115951
55	5670	115835
56	5774	115793
57	5885	115891
58	5994	115918
59	6090	115712
60	6185	115500
61	6287	115400
62	6387	115270
63	6488	115163
64	6587	115033
65	6679	114759
66	6770	114493
67	6861	114222
68	6954	113994
69	7068	114111
70	7168	113982
71	7271	113917
72	7377	113891
73	7470	113678
74	7564	113473
75	7673	113491
76	7771	113349
77	7876	113296
78	7975	113167
79	8072	113014
80	8178	112988
81	8272	112789
82	8361	112528
83	8456	112344
84	8553	112205
85	8654	112104
86	8755	112003
87	8856	111915
88	8949	111717
89	9054	111668
90	9155	111574
91	9259	111520
92	9377	111627
93	9473	111468
94	9568	111296
95	9667	111175
96	9757	110957
97	9853	110800
98	9951	110674
99	10050	110559
100	10152	110469
101	10253	110374
102	10347	110210
103	10455	110181
104	10570	110231
105	10675	110176
106	10780	110123
107	10874	109953
108	10969	109795
109	11069	109684
110	11160	109498
111	11251	109300
112	11350	109190
113	11448	109064
114	11559	109063
115	11676	109110
116	11768	108937
117	11864	108787
118	11961	108655
119	12062	108561
120	12162	108460
121	12266	108389
122	12356	108197
123	12452	108054
124	12545	107892
125	12633	107684
126	12747	107700
127	12854	107659
128	12951	107529
129	13056	107462
130	13150	107314
131	13243	107150
132	13348	107085
133	13446	106973
134	13545	106857
135	13644	106746
136	13737	106594
137	13836	106477
138	13939	106398
139	14029	106223
140	14124	106082
141	14222	105967
142	14321	105860
143	14423	105770
144	14521	105653
145	14607	105455
146	14706	105346
147	14804	105232
148	14904	105130
149	15019	105138
150	15129	105105
151	15222	104953
152	15315	104803
153	15408	104659
154	15499	104494
155	15595	104371
156	15695	104267
157	15808	104253
158	15913	104189
159	16006	104043
160	16117	104009
161	16226	103966
162	16323	103850
163	16420	103727
164	16520	103629
165	16611	103469
166	16702	103313
167	16797	103183
168	16894	103063
169	16988	102929
170	17092	102853
171	17194	102767
172	17313	102778
173	17411	102667
174	17505	102534
175	17604	102425
176	17704	102324
177	17804	102226
178	17905	102129
179	17998	101988
180	18092	101858
181	18184	101712
182	18275	101566
183	18378	101478
184	18493	101463
185	18593	101366
186	18700	101303
187	18792	101161
188	18882	101008
189	18982	100904
190	19081	100801
191	19184	100717
192	19287	100632
193	19392	100560
194	19496	100479
195	19606	100431
196	19697	100285
197	19794	100173
198	19909	100146
199	20008	100042
200	20112	99962
201	20204	99823
202	20298	99694
203	20398	99593
204	20503	99517
205	20602	99413
206	20719	99393
207	20819	99291
208	20918	99190
209	21018	99085
210	21142	99097
211	21243	99003
212	21349	98929
213	21449	98827
214	21547	98717
215	21642	98593
216	21745	98508
217	21845	98405
218	21959	98366
219	22066	98295
220	22174	98229
221	22268	98103
222	22364	97982
223	22458	97855
224	22547	97703
225	22647	97604
226	22753	97529
227	22856	97439
228	22966	97380
229	23072	97305
230	23170	97196
231	23269	97090
232	23371	96998
233	23476	96916
234	23580	96829
235	23684	96746
236	23777	96615
237	23865	96466
238	23961	96346
239	24064	96257
240	24204	96316
241	24304	96212
242	24402	96102
243	24502	95999
244	24592	95861
245	24688	95744
246	24796	95672
247	24893	95559
248	24995	95464
249	25089	95338
250	25186	95227
251	25298	95170
252	25396	95059
253	25494	94953
254	25598	94866
255	25696	94756
256	25794	94646
257	25887	94520
258	25980	94390
259	26076	94274
260	26184	94203
261	26285	94107
262	26396	94042
263	26495	93939
264	26587	93809
265	26687	93706
266	26779	93576
267	26882	93486
268	26987	93401
269	27088	93305
270	27197	93233
271	27293	93120
272	27390	93005
273	27496	92925
274	27605	92854
275	27705	92752
276	27803	92645
277	27903	92543
278	27998	92426
279	28088	92292
280	28188	92188
281	28282	92069
282	28387	91982
283	28492	91898
284	28600	91821
285	28711	91757
